Date,Open,High,Low,Close,Adj Close,Volume,Company
28/10/2016,28.467501,28.8025,28.362499,28.43,26.834291,151446800,AAPL
31/10/2016,28.4125,28.557501,28.299999,28.385,26.791819,105677600,AAPL
01/11/2016,28.365,28.442499,27.6325,27.872499,26.308084,175303200,AAPL
02/11/2016,27.85,28.0875,27.807501,27.897499,26.33168,113326800,AAPL
03/11/2016,27.745001,27.865,27.387501,27.4575,26.049444,107730400,AAPL
04/11/2016,27.1325,27.5625,27.0275,27.209999,25.814631,123348000,AAPL
07/11/2016,27.52,27.627501,27.365,27.602501,26.187002,130240000,AAPL
08/11/2016,27.577499,27.93,27.424999,27.764999,26.341171,97016800,AAPL
09/11/2016,27.469999,27.83,27.012501,27.719999,26.298481,236705600,AAPL
10/11/2016,27.772499,27.772499,26.4575,26.9475,25.565596,228538000,AAPL
11/11/2016,26.780001,27.217501,26.637501,27.1075,25.717388,136575600,AAPL
14/11/2016,26.9275,26.952499,26.02,26.4275,25.07226,204702000,AAPL
15/11/2016,26.6425,26.92,26.540001,26.7775,25.404314,129058000,AAPL
16/11/2016,26.674999,27.557501,26.65,27.497499,26.087387,235362000,AAPL
17/11/2016,27.452499,27.5875,27.2075,27.487499,26.077896,110528000,AAPL
18/11/2016,27.43,27.635,27.415001,27.514999,26.103992,113715600,AAPL
21/11/2016,27.530001,27.997499,27.502501,27.932501,26.500082,117058400,AAPL
22/11/2016,27.987499,28.105,27.85,27.950001,26.516682,103862000,AAPL
23/11/2016,27.84,27.877501,27.5825,27.807501,26.381491,109705600,AAPL
25/11/2016,27.782499,27.967501,27.737499,27.9475,26.514313,45903600,AAPL
28/11/2016,27.8575,28.1175,27.8475,27.8925,26.462132,108776000,AAPL
29/11/2016,27.695,28.0075,27.5175,27.865,26.436045,114115200,AAPL
30/11/2016,27.9,28.049999,27.567499,27.629999,26.213095,144649200,AAPL
01/12/2016,27.592501,27.735001,27.2575,27.372499,25.9688,148347600,AAPL
02/12/2016,27.2925,27.522499,27.2125,27.475,26.066044,106112000,AAPL
05/12/2016,27.5,27.5075,27.0625,27.2775,25.878672,137298000,AAPL
06/12/2016,27.375,27.59,27.297501,27.487499,26.077896,104782000,AAPL
07/12/2016,27.315001,27.797501,27.290001,27.7575,26.334061,119994800,AAPL
